%año         Mes      Dia      Hora     Cont    T1mx     T1mn  
 2011.00     8.00    18.00     7.00   152.00    30.10    22.61
 2011.00     8.00    19.00     7.00   153.00    31.50    22.58
 2011.00     8.00    20.00     7.00   154.00    31.22    23.09
 2011.00     8.00    21.00     7.00   155.00    31.36    22.17
 2011.00     8.00    22.00     7.00   156.00    31.22    22.78
 2011.00     8.00    23.00     7.00   157.00    31.05    22.58
 2011.00     8.00    24.00     7.00   158.00    30.85    22.68
 2011.00     8.00    25.00     7.00   159.00    31.74    22.17
 2011.00     8.00    26.00     7.00   160.00    30.33    22.47
 2011.00     8.00    27.00     7.00   161.00    32.35    22.88
 2011.00     8.00    28.00     7.00   162.00    32.21    22.75
 2011.00     8.00    29.00     7.00   163.00    31.36    22.41
 2011.00     8.00    30.00     7.00   164.00    31.43    23.09
 2011.00     8.00    31.00     7.00   165.00    31.22    22.82
 2011.00     9.00     1.00     7.00   166.00    31.33    23.23
 2011.00     9.00     2.00     7.00   167.00    32.11    21.25
 2011.00     9.00     3.00     7.00   168.00    32.28    22.34
 2011.00     9.00     4.00     7.00   169.00    30.68    22.34
 2011.00     9.00     5.00     7.00   170.00    30.78    22.06
 2011.00     9.00     6.00     7.00   171.00    31.16    21.93
 2011.00     9.00     7.00     7.00   172.00    31.22    22.85
 2011.00     9.00     8.00     7.00   173.00    31.60    23.64
 2011.00     9.00     9.00     7.00   174.00    29.69    22.17
 2011.00     9.00    10.00     7.00   175.00    31.02    23.57
 2011.00     9.00    11.00     7.00   176.00    32.21    22.48
 2011.00     9.00    12.00     7.00   177.00    27.40    22.61
 2011.00     9.00    13.00     7.00   178.00    30.54    23.12
 2011.00     9.00    14.00     7.00   179.00    31.02    22.41
 2011.00     9.00    15.00     7.00   180.00    30.78    22.24
 2011.00     9.00    16.00     7.00   181.00    30.44    21.83
 2011.00     9.00    17.00     7.00   182.00    31.09    22.58
 2011.00     9.00    18.00     7.00   183.00    28.22    22.20
 2011.00     9.00    19.00     7.00   184.00    30.85    22.82
 2011.00     9.00    20.00     7.00   185.00    28.63    21.79
 2011.00     9.00    21.00     7.00   186.00    30.37    21.76
 2011.00     9.00    22.00     7.00   187.00    29.31    22.47
 2011.00     9.00    23.00     7.00   188.00    30.95    22.24
 2011.00     9.00    24.00     7.00   189.00    33.62    23.70
 2011.00     9.00    25.00     7.00   190.00    31.60    23.50
